feature,importance,is_graph_feature
amount_vs_pair_avg,0.07977184230622046,False
pair_familiarity_score,0.07495189514198797,False
pair_tx_count,0.07030346709455092,False
pair_total_amount,0.058143756555811346,False
pair_hours_since_last,0.052274237708879234,False
is_first_interaction,0.05181765019820051,False
embedding_similarity,0.047196773897808686,True
pair_avg_amount,0.04076504736629778,False
sender_emb_28,0.030770714595314975,True
sender_emb_24,0.02371525348615447,True
sender_emb_17,0.020187838023611297,True
receiver_emb_24,0.019661165014606456,True
amount_sqrt,0.018519468306108303,False
receiver_emb_28,0.014864009438446407,True
amount_zscore,0.013958533045430236,False
amount,0.013480638253536277,False
amount_vs_receiver_avg,0.012236869435843527,False
receiver_emb_17,0.01073171846795754,True
amount_log1p,0.010614911596669042,False
embedding_distance,0.010056410967810023,True
receiver_emb_0,0.009877807325780441,True
receiver_emb_6,0.009696914088123164,True
receiver_emb_27,0.009531498234824087,True
receiver_emb_9,0.008846610578806691,True
amount_vs_sender_avg,0.008280288425589699,False
receiver_emb_29,0.008251259949118546,True
sender_emb_9,0.007530898055061758,True
receiver_emb_25,0.007296079907846729,True
sender_emb_11,0.007116736255328627,True
receiver_unique_partners,0.00688223486254448,False
receiver_emb_11,0.006474899228980884,True
receiver_emb_12,0.006421181326664856,True
receiver_partner_ratio,0.0062459981405372875,False
sender_emb_10,0.0060635382815086404,True
receiver_emb_10,0.005956417355791466,True
sender_partner_ratio,0.005884371463380143,False
receiver_emb_30,0.005366551170888197,True
sender_emb_27,0.004791873283655181,True
sender_emb_0,0.004515021532197574,True
sender_emb_6,0.004464399523022273,True
receiver_emb_21,0.004177176863632129,True
receiver_avg_amount,0.0041565529104915545,False
receiver_tx_frequency,0.004061882919651678,False
receiver_amount_zscore,0.003959174619003424,False
sender_emb_30,0.003938063444216329,True
sender_total_amt,0.0039277855664399215,False
receiver_emb_23,0.0038806662184211883,True
sender_emb_16,0.003874720855489286,True
receiver_emb_22,0.0038564225044381926,True
sender_tx_frequency,0.0038391699588683752,False
sender_emb_18,0.0038248987604458952,True
receiver_emb_5,0.0038080834482302063,True
receiver_emb_20,0.00380412454179571,True
receiver_emb_26,0.0036199902506319696,True
sender_emb_22,0.003556594162805361,True
sender_emb_21,0.003549245872069125,True
sender_emb_26,0.0035377473302564094,True
receiver_embedding_norm,0.0035294986241416783,True
sender_avg_amount,0.003483079514903311,False
sender_emb_5,0.003475249223088298,True
sender_embedding_norm,0.003458487526652852,True
receiver_emb_16,0.0034493440221065757,True
sender_tx_count,0.0033961761238407943,False
sender_emb_4,0.003341392712072776,True
receiver_total_amt,0.0033399149938929183,False
receiver_emb_4,0.00333838337140859,True
receiver_emb_18,0.003289065404404847,True
receiver_tx_count,0.003258419785628378,False
sender_hours_since_last,0.0031923720266149617,False
sender_emb_15,0.003096418535213361,True
sender_emb_31,0.0030933469646013917,True
sender_emb_7,0.00308424923802464,True
sender_emb_29,0.00307280197436336,True
embedding_norm_ratio,0.003059254935321396,True
sender_emb_25,0.0030538721721705664,True
receiver_hours_since_last,0.0030491227600352427,False
receiver_emb_13,0.0030486149872298906,True
sender_emb_1,0.003004091002827428,True
receiver_emb_1,0.0029409125344422803,True
receiver_emb_15,0.0029347922508183273,True
sender_unique_partners,0.0028436785579870343,False
sender_emb_13,0.0028228813478664316,True
sender_emb_8,0.002798366083359422,True
sender_emb_12,0.0027239565954107025,True
receiver_emb_31,0.002701422766791246,True
sender_emb_23,0.002701075202546899,True
receiver_emb_3,0.002682675100122904,True
sender_amount_zscore,0.002682133616486861,False
sender_emb_20,0.0026708250054987876,True
receiver_emb_14,0.002438390775796777,True
sender_emb_2,0.0024055471830258693,True
receiver_emb_2,0.0023837882755252324,True
receiver_emb_8,0.0022873219827781966,True
sender_emb_19,0.002226102211772839,True
receiver_emb_19,0.0022172873160838553,True
sender_emb_14,0.0021704888237257646,True
hour_of_day,0.002112206363054183,False
sender_emb_3,0.0019481424637223094,True
receiver_emb_7,0.0018240269152410202,True
is_weekend,0.00024524984332165156,False
is_night_transaction,0.0002364927682951829,False
